run,date,cash,market_value,equity,n_pos,exposure_pct
nb_vol07,2025-10-21,5044.52,6387.97,11432.49,2,55.876
nb_vol07,2025-10-22,1563.22,9734.08,11297.29,3,86.163
nb_vol07,2025-10-23,1563.22,9765.5,11328.72,3,86.201
nb_vol07,2025-10-24,1563.22,10029.18,11592.4,3,86.515
nb_vol07,2025-10-27,1563.22,10089.9,11653.12,3,86.585
nb_vol07,2025-10-28,1563.22,9686.81,11250.02,3,86.105
nb_vol07,2025-10-29,1563.22,9957.88,11521.1,3,86.432
nb_vol07,2025-10-30,1563.22,9849.3,11412.52,3,86.303
nb_vol07,2025-10-31,1563.22,9633.01,11196.23,3,86.038
nb_vol07,2025-11-03,2554.31,8502.16,11056.47,3,76.898
nb_vol07,2025-11-04,2782.62,7969.58,10752.2,3,74.12
nb_vol07,2025-11-05,2782.62,8049.97,10832.59,3,74.313
nb_vol07,2025-11-06,2782.62,8161.44,10944.06,3,74.574
nb_vol07,2025-11-07,2782.62,8081.67,10864.29,3,74.387
nb_vol07,2025-11-10,2782.62,8198.62,10981.24,3,74.66
nb_vol07,2025-11-11,1073.3,9749.83,10823.13,4,90.083
nb_vol07,2025-11-12,3112.21,7556.38,10668.59,3,70.828
nb_vol07,2025-11-13,3112.21,7730.33,10842.54,3,71.296
nb_vol07,2025-11-14,3112.21,7560.31,10672.52,3,70.839
nb_vol07,2025-11-17,8881.47,1625.08,10506.55,1,15.467
nb_vol07,2025-11-18,8881.47,1623.09,10504.56,1,15.451
nb_vol07,2025-11-19,5600.59,4895.76,10496.35,2,46.642
nb_vol07,2025-11-20,5600.59,4858.09,10458.69,2,46.45
nb_vol07,2025-11-21,7175.2,3066.48,10241.68,1,29.941
nb_vol07,2025-11-24,7175.2,3079.39,10254.59,1,30.029
nb_vol07,2025-11-25,7175.2,3066.48,10241.68,1,29.941
nb_vol07,2025-11-26,7175.2,3047.11,10222.32,1,29.808
nb_vol07,2025-11-27,7175.2,3053.57,10228.77,1,29.853
